"store","store_id","websites","attribute_set","type","configurable_attributes","_super_attribute_code","category_ids","sku","associated","name","manufacturer","mfg_model","aw_callforprice","msrp_enabled","msrp_display_actual_price_type","msrp","price","special_price","special_from_date","special_to_date","weight","tax_class_id","qty","min_qty","use_config_min_qty","is_qty_decimal","backorders","use_config_backorders","min_sale_qty","use_config_min_sale_qty","max_sale_qty","use_config_max_sale_qty","is_in_stock","low_stock_date","notify_stock_qty","use_config_notify_stock_qty","manage_stock","use_config_manage_stock","stock_status_changed_auto","use_config_qty_increments","qty_increments","use_config_enable_qty_inc","enable_qty_increments","is_decimal_divided","stock_status_changed_automatically","use_config_enable_qty_increments","status","visibility","is_recurring","url_key","url_path","meta_title","meta_description","meta_keyword","image_label","small_image_label","thumbnail_label","image","small_image","thumbnail","media_gallery","description","short_description","feature_1","feature_2","feature_3","feature_4","rug_color","rug_shape","rug_style","rug_nav","rug_size","rug_material","mfg_collection","assembly_req","country_of_manufacture","ship_type","lead_time","enable_googlecheckout","gift_message_available","has_options","custom_layout_update","page_layout","options_container","custom_design","custom_design_from","custom_design_to","news_from_date","news_to_date","reward_no_discount","reward_points","product_name","product_type_id","product_status_changed","product_changed_websites","recurring_profile","shipping_height","shipping_width","shipping_length","pile_height","construction","stain_resistant","fire_resistant","care_cleaning","warranty","upc"
"admin","0","Base","Rugs","simple","","","83,6","RIZZY-1548236FIVYREDC50-C50","","Rizzy Ivory/Red Rug in 18.48-C50","Rizzy","8236F","","Use config","Use config","","654291364350","Running","","","18.48","2","TODO","0","1","0","0","1","1","1","0","1","1","","0","1","0","1","0","1","0","1","0","0","0","1","1","1","No","","","Rizzy Ivory/Red Rug in 18.48-C50","","","","","","/rizzy/1548236FIVYREDC50.jpg","/rizzy/1548236FIVYREDC50.jpg","/rizzy/1548236FIVYREDC50.jpg","","India","","","","","","","","","","","Home","","","","Drop Ship","14 Days","Yes","No","0","","1 column","container1","","","","","","","","Rizzy Ivory/Red Rug in 18.48-C50","simple","","","","198","262","76","66-Pile Height","Hand Knotted","","","6","","IVYRED"
"admin","0","Base","Rugs","simple","","","83,6","RIZZY-1548236FIVYREDE10-E10","","Rizzy Ivory/Red Rug in 38.4-E10","Rizzy","8236F","","Use config","Use config","","654291015986","Running","","","38.4","2","TODO","0","1","0","0","1","1","1","0","1","1","","0","1","0","1","0","1","0","1","0","0","0","1","1","1","No","","","Rizzy Ivory/Red Rug in 38.4-E10","","","","","","/rizzy/1548236FIVYREDE10.jpg","/rizzy/1548236FIVYREDE10.jpg","/rizzy/1548236FIVYREDE10.jpg","","India","","","","","","","","","","","Home","","","","Drop Ship","14 Days","Yes","No","0","","1 column","container1","","","","","","","","Rizzy Ivory/Red Rug in 38.4-E10","simple","","","","429","543","165","96-Pile Height","Hand Knotted","","","8","","IVYRED"
"admin","0","Base","Rugs","simple","","","83,6","RIZZY-1548236FIVYREDG99-G99","","Rizzy Ivory/Red Rug in 84.48-G99","Rizzy","8236F","","Use config","Use config","","654291452965","Running","","","84.48","2","TODO","0","1","0","0","1","1","1","0","1","1","","0","1","0","1","0","1","0","1","0","0","0","1","1","1","No","","","Rizzy Ivory/Red Rug in 84.48-G99","","","","","","/rizzy/1548236FIVYREDG99.jpg","/rizzy/1548236FIVYREDG99.jpg","/rizzy/1548236FIVYREDG99.jpg","","India","","","","","","","","","","","Home","","","","Drop Ship","14 Days","Yes","No","0","","1 column","container1","","","","","","","","Rizzy Ivory/Red Rug in 84.48-G99","simple","","","","907","1199","349","132-Pile Height","Hand Knotted","","","9","","IVYRED"
"admin","0","Base","Rugs","simple","","","83,6","RIZZY-1548236FIVYREDI3A-I3A","","Rizzy Ivory/Red Rug in 17.28-I3A","Rizzy","8236F","","Use config","Use config","","654291016006","Running","","","17.28","2","TODO","0","1","0","0","1","1","1","0","1","1","","0","1","0","1","0","1","0","1","0","0","0","1","1","1","No","","","Rizzy Ivory/Red Rug in 17.28-I3A","","","","","","/rizzy/1548236FIVYREDI3A.jpg","/rizzy/1548236FIVYREDI3A.jpg","/rizzy/1548236FIVYREDI3A.jpg","","India","","","","","","","","","","","Home","","","","Drop Ship","14 Days","Yes","No","0","","1 column","container1","","","","","","","","Rizzy Ivory/Red Rug in 17.28-I3A","simple","","","","185","244","71","96-Pile Height","Hand Knotted","","","8","","IVYRED"
"admin","0","Base","Rugs","simple","","","83,6","RIZZY-1548236FIVYREDN80-N80","","Rizzy Ivory/Red Rug in 61.44-N80","Rizzy","8236F","","Use config","Use config","","654291460939","Running","","","61.44","2","TODO","0","1","0","0","1","1","1","0","1","1","","0","1","0","1","0","1","0","1","0","0","0","1","1","1","No","","","Rizzy Ivory/Red Rug in 61.44-N80","","","","","","/rizzy/1548236FIVYREDN80.jpg","/rizzy/1548236FIVYREDN80.jpg","/rizzy/1548236FIVYREDN80.jpg","","India","","","","","","","","","","","Home","","","","Drop Ship","14 Days","Yes","No","0","","1 column","container1","","","","","","","","Rizzy Ivory/Red Rug in 61.44-N80","simple","","","","658","869","253","96-Pile Height","Hand Knotted","","","8","","IVYRED"
"admin","0","Base","Rugs","simple","","","83,6","RIZZY-1548236FIVYREDP00-P00","","Rizzy Ivory/Red Rug in 5.76-P00","Rizzy","8236F","","Use config","Use config","","654291016280","Running","","","5.76","2","TODO","0","1","0","0","1","1","1","0","1","1","","0","1","0","1","0","1","0","1","0","0","0","1","1","1","No","","","Rizzy Ivory/Red Rug in 5.76-P00","","","","","","/rizzy/1548236FIVYREDP00.jpg","/rizzy/1548236FIVYREDP00.jpg","/rizzy/1548236FIVYREDP00.jpg","","India","","","","","","","","","","","Home","","","","Drop Ship","14 Days","Yes","No","0","","1 column","container1","","","","","","","","Rizzy Ivory/Red Rug in 5.76-P00","simple","","","","62","84","24","36-Pile Height","Hand Knotted","","","3","","IVYRED"
"admin","0","Base","Rugs","simple","","","83,6","RIZZY-1548268FREDBLKC50-C50","","Rizzy Red/Black Rug in 18.48-C50","Rizzy","8268F","","Use config","Use config","","654291364480","Running","","","18.48","2","TODO","0","1","0","0","1","1","1","0","1","1","","0","1","0","1","0","1","0","1","0","0","0","1","1","1","No","","","Rizzy Red/Black Rug in 18.48-C50","","","","","","/rizzy/1548268FREDBLKC50.jpg","/rizzy/1548268FREDBLKC50.jpg","/rizzy/1548268FREDBLKC50.jpg","","India","","","","","","","","","","","Home","","","","Drop Ship","14 Days","Yes","No","0","","1 column","container1","","","","","","","","Rizzy Red/Black Rug in 18.48-C50","simple","","","","198","262","76","66-Pile Height","Hand Knotted","","","6","","REDBLK"
"admin","0","Base","Rugs","simple","","","83,6","RIZZY-1548268FREDBLKE10-E10","","Rizzy Red/Black Rug in 38.4-E10","Rizzy","8268F","","Use config","Use config","","654291016112","Running","","","38.4","2","TODO","0","1","0","0","1","1","1","0","1","1","","0","1","0","1","0","1","0","1","0","0","0","1","1","1","No","","","Rizzy Red/Black Rug in 38.4-E10","","","","","","/rizzy/1548268FREDBLKE10.jpg","/rizzy/1548268FREDBLKE10.jpg","/rizzy/1548268FREDBLKE10.jpg","","India","","","","","","","","","","","Home","","","","Drop Ship","14 Days","Yes","No","0","","1 column","container1","","","","","","","","Rizzy Red/Black Rug in 38.4-E10","simple","","","","429","543","165","96-Pile Height","Hand Knotted","","","8","","REDBLK"
"admin","0","Base","Rugs","simple","","","83,6","RIZZY-1548268FREDBLKG99-G99","","Rizzy Red/Black Rug in 84.48-G99","Rizzy","8268F","","Use config","Use config","","654291016129","Running","","","84.48","2","TODO","0","1","0","0","1","1","1","0","1","1","","0","1","0","1","0","1","0","1","0","0","0","1","1","1","No","","","Rizzy Red/Black Rug in 84.48-G99","","","","","","/rizzy/1548268FREDBLKG99.jpg","/rizzy/1548268FREDBLKG99.jpg","/rizzy/1548268FREDBLKG99.jpg","","India","","","","","","","","","","","Home","","","","Drop Ship","14 Days","Yes","No","0","","1 column","container1","","","","","","","","Rizzy Red/Black Rug in 84.48-G99","simple","","","","907","1199","349","132-Pile Height","Hand Knotted","","","9","","REDBLK"
"admin","0","Base","Rugs","simple","","","83,6","RIZZY-1548268FREDBLKI3A-I3A","","Rizzy Red/Black Rug in 17.28-I3A","Rizzy","8268F","","Use config","Use config","","654291016136","Running","","","17.28","2","TODO","0","1","0","0","1","1","1","0","1","1","","0","1","0","1","0","1","0","1","0","0","0","1","1","1","No","","","Rizzy Red/Black Rug in 17.28-I3A","","","","","","/rizzy/1548268FREDBLKI3A.jpg","/rizzy/1548268FREDBLKI3A.jpg","/rizzy/1548268FREDBLKI3A.jpg","","India","","","","","","","","","","","Home","","","","Drop Ship","14 Days","Yes","No","0","","1 column","container1","","","","","","","","Rizzy Red/Black Rug in 17.28-I3A","simple","","","","185","244","71","96-Pile Height","Hand Knotted","","","8","","REDBLK"
